node_id,unique_id,name,ion_class,copies
1898,155735_Kdr-ID-1,155735_Kdr-ID-1,K,1
1926,44050_kdrca1-ID-1,44050_kdrca1-ID-1,K,1
1930,114359_km-ID-1,114359_km-ID-1,K,1
1934,114359_kv-ID-1,114359_kv-ID-1,K,1
1939,156120_km-ID-1,156120_km-ID-1,K,1
1942,156120_hh1-ID-1,156120_hh1-ID-1,K,1
1953,124394_hh3-ID-1,124394_hh3-ID-1,K,1
1957,3802_kxph-ID-1,3802_kxph-ID-1,K,1
1975,3263_borgkm-ID-1,3263_borgkm-ID-1,K,3
1976,147867_kap-ID-1,147867_kap-ID-1,K,1
1977,147867_kad-ID-1,147867_kad-ID-1,K,1
1979,3491_kdrgc-ID-1,3491_kdrgc-ID-1,K,1
1993,3805_dc-ID-1,3805_dc-ID-1,K,1
2001,126814_km-ID-1,126814_km-ID-1,K,1
2008,126814_kaprox-ID-1,126814_kaprox-ID-1,K,1
2009,126814_kdrca1-ID-1,126814_kdrca1-ID-1,K,1
2049,124063_Bip_Kv-ID-1,124063_Bip_Kv-ID-1,K,1
2050,124063_Bip_Ka-ID-1,124063_Bip_Ka-ID-1,K,1
2054,124063_Cone_Kv-ID-1,124063_Cone_Kv-ID-1,K,1
2063,53451_km-ID-1,53451_km-ID-1,K,1
2068,53451_kv-ID-1,53451_kv-ID-1,K,1
2071,226010_kDR-ID-1,226010_kDR-ID-1,K,1
2072,226010_A-ID-1,226010_A-ID-1,K,1
2076,226010_M-ID-1,226010_M-ID-1,K,1
2087,19214_hh1-ID-1,19214_hh1-ID-1,K,1
2096,135902_kdrolmkop-ID-1,135902_kdrolmkop-ID-1,K,6
2100,139421_kdrbwb-ID-1,139421_kdrbwb-ID-1,K,4
2107,135902_kaolmkop-ID-1,135902_kaolmkop-ID-1,K,6
2114,135902_kapyrkop-ID-1,135902_kapyrkop-ID-1,K,6
2117,139421_CA1ika-ID-1,139421_CA1ika-ID-1,K,3
2119,135902_kdrpyrkop-ID-1,135902_kdrpyrkop-ID-1,K,6
2120,135902_kdrpr-ID-1,135902_kdrpr-ID-1,K,6
2121,139421_CA1ikdr-ID-1,139421_CA1ikdr-ID-1,K,3
2174,64229_kdr-ID-2,64229_kdr-ID-2,K,1
2178,64229_kdrp-ID-2,64229_kdrp-ID-2,K,1
2187,149739_KDRmt-ID-1,149739_KDRmt-ID-1,K,2
2193,149739_kAmt-ID-1,149739_kAmt-ID-1,K,2
2200,149739_KS-ID-1,149739_KS-ID-1,K,1
2213,112546_km-ID-1,112546_km-ID-1,K,1
2237,138273_IKaSM-ID-1,138273_IKaSM-ID-1,K,1
2238,138273_IKdrSM-ID-1,138273_IKdrSM-ID-1,K,1
2276,115356_km-ID-1,115356_km-ID-1,K,2
2283,125152_kdr-ID-1,125152_kdr-ID-1,K,1
2285,125152_kslow-ID-1,125152_kslow-ID-1,K,1
2290,125152_kleck-ID-1,125152_kleck-ID-1,K,1
2291,115356_ka-ID-1,115356_ka-ID-1,K,2
2296,151443_Kdr-ID-1,151443_Kdr-ID-1,K,1
2301,151443_K_No-ID-1,151443_K_No-ID-1,K,1
2337,135902_kdrbwb-ID-1,135902_kdrbwb-ID-1,K,3
2344,135902_CA1ika-ID-1,135902_CA1ika-ID-1,K,3
2345,135902_kdrca1-ID-1,135902_kdrca1-ID-1,K,3
2350,135902_CA1ikdr-ID-1,135902_CA1ikdr-ID-1,K,3
2353,46839_grc_kir-ID-1,46839_grc_kir-ID-1,K,1
2354,46839_Grg_kv-ID-1,46839_Grg_kv-ID-1,K,1
2357,46839_grc_ka-ID-1,46839_grc_ka-ID-1,K,1
2364,46839_grg_km-ID-1,46839_grg_km-ID-1,K,1
2371,180370_kdrRL-ID-1,180370_kdrRL-ID-1,K,1
2385,123623_HH_traub-ID-1,123623_HH_traub-ID-1,K,1
2391,223649_IM_cortex-ID-2,223649_IM_cortex-ID-2,K,1
2392,64296_kO-ID-1,64296_kO-ID-1,K,1
2400,223649_kslowtab-ID-2,223649_kslowtab-ID-2,K,1
2404,223649_kfasttab-ID-2,223649_kfasttab-ID-2,K,1
2405,223649_kA-ID-2,223649_kA-ID-2,K,1
2408,223649_kdtx-ID-1,223649_kdtx-ID-1,K,1
2414,150288_kdrinter-ID-1,150288_kdrinter-ID-1,K,2
2440,223649_kdrca1DA-ID-2,223649_kdrca1DA-ID-2,K,1
2445,223649_im-ID-2,223649_im-ID-2,K,1
2447,223649_km-ID-2,223649_km-ID-2,K,1
2452,223649_kaprox-ID-4,223649_kaprox-ID-4,K,1
2453,223649_kdrca1-ID-4,223649_kdrca1-ID-4,K,1
2455,223649_kd-ID-2,223649_kd-ID-2,K,1
2457,48332_kpkj-ID-1,48332_kpkj-ID-1,K,1
2473,146030_Kdr_ChannelML-ID-1,146030_Kdr_ChannelML-ID-1,K,1
2474,146030_KA_ChannelML-ID-1,146030_KA_ChannelML-ID-1,K,1
2497,123453_Kv4-ID-1,123453_Kv4-ID-1,K,1
2498,123453_Kv1-ID-1,123453_Kv1-ID-1,K,1
2500,123453_Kv3-ID-1,123453_Kv3-ID-1,K,1
2521,136715_hh_Cp_scaled-ID-1,136715_hh_Cp_scaled-ID-1,K,1
2522,136715_hh_Ca_scaled-ID-1,136715_hh_Ca_scaled-ID-1,K,1
2523,136715_hh_Cs_scaled-ID-1,136715_hh_Cs_scaled-ID-1,K,1
2525,128079_hhmfb-ID-1,128079_hhmfb-ID-1,K,1
2527,128079_KIn-ID-1,128079_KIn-ID-1,K,1
2558,124043_hh3-ID-1,124043_hh3-ID-1,K,2
2580,115356_kdr-ID-1,115356_kdr-ID-1,K,1
2582,105385_kv1_gp-ID-1,105385_kv1_gp-ID-1,K,2
2590,151825_kslow-ID-1,151825_kslow-ID-1,K,1
2593,151825_kfast-ID-1,151825_kfast-ID-1,K,1
2610,124043_kdf-ID-1,124043_kdf-ID-1,K,1
2613,20756_kdr-ID-1,20756_kdr-ID-1,K,1
2618,3263_borgka-ID-1,3263_borgka-ID-1,K,1
2626,20015_kdrs-ID-1,20015_kdrs-ID-1,K,1
2627,20015_kdrf-ID-1,20015_kdrf-ID-1,K,1
2628,20015_ka-ID-1,20015_ka-ID-1,K,1
2659,114685_KDRs-ID-1,114685_KDRs-ID-1,K,1
2661,114685_KDRf-ID-1,114685_KDRf-ID-1,K,1
2664,51022_fh-ID-1,51022_fh-ID-1,K,1
2679,154732_km-ID-1,154732_km-ID-1,K,1
2702,52034_kdr-ID-1,52034_kdr-ID-1,K,1
2706,52034_kdrp-ID-1,52034_kdrp-ID-1,K,1
2721,19591_Kdr_chan-ID-1,19591_Kdr_chan-ID-1,K,1
2728,19591_Ka_chan-ID-1,19591_Ka_chan-ID-1,K,1
2735,3793_kd-ID-1,3793_kd-ID-1,K,1
2736,87546_ks-ID-1,87546_ks-ID-1,K,1
2742,144385_kv-ID-1,144385_kv-ID-1,K,2
2775,125385_skm-ID-1,125385_skm-ID-1,K,1
2776,125385_skaprox-ID-1,125385_skaprox-ID-1,K,1
2784,125385_skv-ID-1,125385_skv-ID-1,K,1
2789,83547_hh3-ID-1,83547_hh3-ID-1,K,1
2799,144526_Kv7-ID-1,144526_Kv7-ID-1,K,20
2806,144526_Kv1_axonal-ID-1,144526_Kv1_axonal-ID-1,K,20
2876,21329_nethhwbm-ID-1,21329_nethhwbm-ID-1,K,1
2901,118631_wb-ID-1,118631_wb-ID-1,K,1
2913,62673_kdersej-ID-1,62673_kdersej-ID-1,K,1
2925,184139_KdBG40-ID-1,184139_KdBG40-ID-1,K,1
2928,184139_Kdr-ID-1,184139_Kdr-ID-1,K,1
2929,184139_KaProx-ID-1,184139_KaProx-ID-1,K,1
2944,22203_km-ID-1,22203_km-ID-1,K,8
2948,39949_kir2-ID-1,39949_kir2-ID-1,K,1
2949,39949_ksi-ID-1,39949_ksi-ID-1,K,1
2967,19747_BKDNaDR-ID-1,19747_BKDNaDR-ID-1,K,1
2969,146026_kslow-ID-1,146026_kslow-ID-1,K,1
2970,146026_IKM-ID-1,146026_IKM-ID-1,K,1
2975,146026_kfast-ID-1,146026_kfast-ID-1,K,1
2987,87585_ichanWT2005-ID-1,87585_ichanWT2005-ID-1,K,1
2988,87585_ichanR859C1-ID-1,87585_ichanR859C1-ID-1,K,1
2992,144520_ito-ID-1,144520_ito-ID-1,K,1
2998,144520_ikd-ID-1,144520_ikd-ID-1,K,1
2999,144520_ik1-ID-1,144520_ik1-ID-1,K,1
3034,144385_km-ID-1,144385_km-ID-1,K,1
3043,225080_kdr-ID-1,225080_kdr-ID-1,K,1
3049,225080_kap-ID-1,225080_kap-ID-1,K,1
3051,225080_kad-ID-1,225080_kad-ID-1,K,1
3066,141063_dr-ID-1,141063_dr-ID-1,K,1
3070,141063_sdsr-ID-1,141063_sdsr-ID-1,K,1
3072,144511_HH2-ID-1,144511_HH2-ID-1,K,1
3076,116956_emdk-ID-1,116956_emdk-ID-1,K,1
3081,143100_KCNQ-ID-1,143100_KCNQ-ID-1,K,2
3082,183949_km_hu-ID-1,183949_km_hu-ID-1,K,1
3083,207695_kleak-ID-1,207695_kleak-ID-1,K,1
3087,207695_kslow-ID-1,207695_kslow-ID-1,K,1
3091,207695_kfast-ID-1,207695_kfast-ID-1,K,1
3106,124063_Rod_Kx-ID-1,124063_Rod_Kx-ID-1,K,1
